,date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato,new_confirmed,new_deaths,new_confirmed_n,new_deaths_n
0,2020-01-01,0,0,31,0,0,0,0,0,0,0.0,1.3157894736842104
1,2020-01-02,0,0,0,14,54,0,0,0,0,0.0,1.3157894736842104
2,2020-01-03,0,0,0,27,0,0,0,0,0,0.0,1.3157894736842104
3,2020-01-04,0,0,0,0,31,0,0,0,0,0.0,1.3157894736842104
4,2020-01-05,0,0,24,34,17,0,0,0,0,0.0,1.3157894736842104
5,2020-01-06,0,0,19,0,13,0,0,0,0,0.0,1.3157894736842104
6,2020-01-07,0,0,19,26,39,0,0,0,0,0.0,1.3157894736842104
7,2020-01-08,0,0,18,13,26,0,0,0,0,0.0,1.3157894736842104
8,2020-01-09,0,0,36,26,0,0,0,0,0,0.0,1.3157894736842104
9,2020-01-10,0,0,19,26,13,0,0,0,0,0.0,1.3157894736842104
10,2020-01-11,0,0,0,16,0,0,0,0,0,0.0,1.3157894736842104
11,2020-01-12,0,0,0,0,34,0,0,0,0,0.0,1.3157894736842104
12,2020-01-13,0,0,0,23,23,0,0,0,0,0.0,1.3157894736842104
13,2020-01-14,0,0,0,11,11,0,0,0,0,0.0,1.3157894736842104
14,2020-01-15,0,0,35,25,12,0,0,0,0,0.0,1.3157894736842104
15,2020-01-16,0,0,0,13,0,0,0,0,0,0.0,1.3157894736842104
16,2020-01-17,0,0,0,0,13,0,0,0,0,0.0,1.3157894736842104
17,2020-01-18,0,0,21,29,0,0,0,0,0,0.0,1.3157894736842104
18,2020-01-19,0,0,23,33,16,0,0,0,0,0.0,1.3157894736842104
19,2020-01-20,0,1,0,13,13,0,0,0,0,0.0,1.3157894736842104
20,2020-01-21,0,0,0,37,12,0,0,0,0,0.0,1.3157894736842104
21,2020-01-22,0,3,0,24,24,0,0,0,0,0.0,1.3157894736842104
22,2020-01-23,0,8,0,24,12,0,0,0,0,0.0,1.3157894736842104
23,2020-01-24,0,6,0,26,0,0,0,0,0,0.0,1.3157894736842104
24,2020-01-25,0,8,0,0,0,0,0,0,0,0.0,1.3157894736842104
25,2020-01-26,0,11,0,31,0,0,0,0,0,0.0,1.3157894736842104
26,2020-01-27,0,7,0,13,0,0,0,0,0,0.0,1.3157894736842104
27,2020-01-28,0,17,18,37,12,0,0,0,0,0.0,1.3157894736842104
28,2020-01-29,0,15,0,36,0,0,0,0,0,0.0,1.3157894736842104
29,2020-01-30,0,14,17,36,12,0,0,0,0,0.0,1.3157894736842104
30,2020-01-31,0,13,19,0,0,0,0,0,0,0.0,1.3157894736842104
31,2020-02-01,0,11,22,15,15,0,0,0,0,0.0,1.3157894736842104
32,2020-02-02,0,8,46,16,0,0,0,0,0,0.0,1.3157894736842104
33,2020-02-03,0,5,0,22,0,0,0,0,0,0.0,1.3157894736842104
34,2020-02-04,0,2,17,12,23,0,0,0,0,0.0,1.3157894736842104
35,2020-02-05,0,3,0,13,0,0,0,0,0,0.0,1.3157894736842104
36,2020-02-06,0,2,0,12,36,0,0,0,0,0.0,1.3157894736842104
37,2020-02-07,0,5,0,76,38,0,0,0,0,0.0,1.3157894736842104
38,2020-02-08,0,7,0,29,0,0,0,0,0,0.0,1.3157894736842104
39,2020-02-09,0,5,0,46,0,0,0,0,0,0.0,1.3157894736842104
40,2020-02-10,0,3,0,12,24,0,0,0,0,0.0,1.3157894736842104
41,2020-02-11,0,3,16,11,23,0,0,0,0,0.0,1.3157894736842104
42,2020-02-12,0,3,31,11,22,0,0,0,0,0.0,1.3157894736842104
43,2020-02-13,0,3,0,11,22,0,0,0,0,0.0,1.3157894736842104
44,2020-02-14,0,2,0,37,0,0,0,0,0,0.0,1.3157894736842104
45,2020-02-15,0,3,0,57,0,0,0,0,0,0.0,1.3157894736842104
46,2020-02-16,0,3,43,30,15,0,0,0,0,0.0,1.3157894736842104
47,2020-02-17,0,1,0,0,0,0,0,0,0,0.0,1.3157894736842104
48,2020-02-18,0,2,0,11,11,0,0,0,0,0.0,1.3157894736842104
49,2020-02-19,0,0,0,0,22,0,0,0,0,0.0,1.3157894736842104
50,2020-02-20,0,3,0,21,11,0,0,0,0,0.0,1.3157894736842104
51,2020-02-21,0,2,17,0,36,0,0,0,0,0.0,1.3157894736842104
52,2020-02-22,0,1,0,0,14,0,0,0,0,0.0,1.3157894736842104
53,2020-02-23,0,4,0,0,16,0,0,0,0,0.0,1.3157894736842104
54,2020-02-24,3,1,0,14,28,0,0,0,0,0.0,1.3157894736842104
55,2020-02-25,0,1,0,15,15,0,0,0,0,0.0,1.3157894736842104
56,2020-02-26,2,22,17,0,12,0,0,0,0,0.0,1.3157894736842104
57,2020-02-27,2,11,0,10,0,0,0,0,0,0.0,1.3157894736842104
58,2020-02-28,0,15,0,0,0,0,0,0,0,0.0,1.3157894736842104
59,2020-02-29,2,12,0,13,0,0,0,0,0,0.0,1.3157894736842104
60,2020-03-01,0,11,0,0,28,0,0,0,0,0.0,1.3157894736842104
61,2020-03-02,2,7,16,11,0,0,0,0,0,0.0,1.3157894736842104
62,2020-03-03,0,6,16,11,22,0,0,0,0,0.0,1.3157894736842104
63,2020-03-04,0,3,0,43,11,0,0,0,0,0.0,1.3157894736842104
64,2020-03-05,2,6,15,11,21,0,0,0,0,0.0,1.3157894736842104
65,2020-03-06,4,10,0,0,23,0,0,0,0,0.0,1.3157894736842104
66,2020-03-07,0,6,19,0,27,0,0,0,0,0.0,1.3157894736842104
67,2020-03-08,0,8,0,69,0,0,0,0,0,0.0,1.3157894736842104
68,2020-03-09,2,14,0,23,11,0,0,0,0,0.0,1.3157894736842104
69,2020-03-10,0,8,16,22,11,0,0,0,0,0.0,1.3157894736842104
70,2020-03-11,6,15,30,21,21,0,0,0,0,0.0,1.3157894736842104
71,2020-03-12,10,37,15,21,21,0,0,0,0,0.0,1.3157894736842104
72,2020-03-13,12,60,16,12,0,0,0,2,0,0.03992812936713915,1.3157894736842104
73,2020-03-14,14,42,0,13,13,0,0,0,0,0.0,1.3157894736842104
74,2020-03-15,15,37,0,14,14,0,0,0,0,0.0,1.3157894736842104
75,2020-03-16,24,59,16,33,22,0,0,0,0,0.0,1.3157894736842104
76,2020-03-17,20,58,16,68,22,0,0,0,0,0.0,1.3157894736842104
77,2020-03-18,33,62,16,11,11,0,0,0,0,0.0,1.3157894736842104
78,2020-03-19,24,75,0,34,34,0,0,1,0,0.019964064683569576,1.3157894736842104
79,2020-03-20,42,63,31,33,22,0,0,4,0,0.0798562587342783,1.3157894736842104
80,2020-03-21,52,100,37,66,39,0,0,4,0,0.0798562587342783,1.3157894736842104
81,2020-03-22,78,81,20,72,100,0,0,15,0,0.2994609702535436,1.3157894736842104
82,2020-03-23,67,57,29,92,20,41,0,6,0,0.11978438810141745,1.3157894736842104
83,2020-03-24,43,56,32,57,11,0,0,15,1,0.2994609702535436,1.7543859649122806
84,2020-03-25,42,62,17,46,58,0,0,7,0,0.13974845278498704,1.3157894736842104
85,2020-03-26,21,52,17,59,24,0,0,13,0,0.2595328408864045,1.3157894736842104
86,2020-03-27,42,50,0,64,32,0,0,14,0,0.2794969055699741,1.3157894736842104
87,2020-03-28,41,44,0,13,25,0,0,30,0,0.5989219405070872,1.3157894736842104
88,2020-03-29,48,37,0,40,40,0,0,29,0,0.5789578758235177,1.3157894736842104
89,2020-03-30,27,28,14,10,30,0,0,11,1,0.21960471151926533,1.7543859649122806
