,date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato,new_confirmed,new_deaths,new_confirmed_n,new_deaths_n
0,2020-01-01,0,0,15,29,21,0,0,0,0,0.0,0.0
1,2020-01-02,0,0,19,29,22,0,0,0,0,0.0,0.0
2,2020-01-03,0,0,9,32,26,5,0,0,0,0.0,0.0
3,2020-01-04,0,0,19,36,23,0,0,0,0,0.0,0.0
4,2020-01-05,0,0,17,30,23,0,0,0,0,0.0,0.0
5,2020-01-06,0,0,19,29,22,0,0,0,0,0.0,0.0
6,2020-01-07,0,0,21,27,20,0,0,0,0,0.0,0.0
7,2020-01-08,0,0,11,32,18,5,0,0,0,0.0,0.0
8,2020-01-09,0,0,14,26,18,0,0,0,0,0.0,0.0
9,2020-01-10,0,0,21,30,17,0,0,0,0,0.0,0.0
10,2020-01-11,0,0,20,33,25,0,4,0,0,0.0,0.0
11,2020-01-12,0,0,22,30,27,0,0,0,0,0.0,0.0
12,2020-01-13,0,0,21,30,16,0,0,0,0,0.0,0.0
13,2020-01-14,0,0,20,32,21,8,3,0,0,0.0,0.0
14,2020-01-15,0,0,18,32,19,0,0,0,0,0.0,0.0
15,2020-01-16,0,0,12,37,23,0,3,0,0,0.0,0.0
16,2020-01-17,0,0,10,31,10,0,0,0,0,0.0,0.0
17,2020-01-18,0,0,13,35,22,0,0,0,0,0.0,0.0
18,2020-01-19,0,0,17,30,21,0,0,0,0,0.0,0.0
19,2020-01-20,0,0,19,32,17,5,0,0,0,0.0,0.0
20,2020-01-21,0,1,15,51,16,0,3,0,0,0.0,0.0
21,2020-01-22,0,4,10,48,16,0,0,0,0,0.0,0.0
22,2020-01-23,0,5,17,32,16,4,0,0,0,0.0,0.0
23,2020-01-24,0,4,20,40,17,5,0,0,0,0.0,0.0
24,2020-01-25,0,5,9,36,17,0,0,0,0,0.0,0.0
25,2020-01-26,0,6,21,33,19,0,4,0,0,0.0,0.0
26,2020-01-27,0,7,21,40,15,0,0,0,0,0.0,0.0
27,2020-01-28,0,15,17,35,16,0,0,0,0,0.0,0.0
28,2020-01-29,0,19,16,34,18,5,3,0,0,0.0,0.0
29,2020-01-30,0,16,18,36,17,9,0,0,0,0.0,0.0
30,2020-01-31,0,13,14,31,18,0,0,0,0,0.0,0.0
31,2020-02-01,0,8,20,25,19,0,0,0,0,0.0,0.0
32,2020-02-02,0,6,18,32,22,6,0,0,0,0.0,0.0
33,2020-02-03,0,5,17,31,20,0,0,0,0,0.0,0.0
34,2020-02-04,0,4,12,28,18,0,0,0,0,0.0,0.0
35,2020-02-05,0,4,14,30,18,0,0,0,0,0.0,0.0
36,2020-02-06,0,4,16,28,18,0,3,0,0,0.0,0.0
37,2020-02-07,0,4,15,33,15,0,0,0,0,0.0,0.0
38,2020-02-08,0,3,18,38,23,6,0,0,0,0.0,0.0
39,2020-02-09,0,4,13,32,24,0,0,0,0,0.0,0.0
40,2020-02-10,0,3,14,39,13,0,0,0,0,0.0,0.0
41,2020-02-11,0,3,20,35,21,4,0,0,0,0.0,0.0
42,2020-02-12,0,3,14,35,21,0,0,0,0,0.0,0.0
43,2020-02-13,0,3,16,31,21,0,0,0,0,0.0,0.0
44,2020-02-14,0,2,13,41,19,0,0,0,0,0.0,0.0
