,date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato,new_confirmed,new_deaths,new_confirmed_n,new_deaths_n
0,2020-01-05,0,0,26,39,32,1,1,0,0,0.0,0.0
1,2020-01-12,0,0,24,38,30,2,4,0,0,0.0,0.0
2,2020-01-19,0,3,25,48,24,3,0,0,0,0.0,0.0
3,2020-01-26,0,14,27,43,23,1,2,0,0,0.0,0.0
4,2020-02-02,0,5,25,41,26,0,1,0,0,0.0,0.0
5,2020-02-09,0,3,22,45,25,4,1,0,0,0.0,0.0
6,2020-02-16,0,2,26,49,34,2,1,0,0,0.0,0.0
7,2020-02-23,2,15,24,53,46,3,1,0,0,0.0,0.0
8,2020-03-01,2,10,26,52,43,0,1,17,0,0.004469085756497919,0.0
9,2020-03-08,9,33,29,60,51,2,1,117,0,0.03075782550060333,0.0
10,2020-03-15,59,100,82,100,100,3,8,996,18,0.2618358478512899,0.21712907117008443
11,2020-03-22,76,77,100,90,91,21,23,2821,97,0.7416053481812136,1.1700844390832328
12,2020-03-29,68,46,86,59,53,25,25,6428,330,1.6898401907510956,3.9806996381182147
13,2020-04-05,68,63,64,55,43,26,25,10610,696,2.7892352868495838,8.395657418576597
14,2020-04-12,71,35,58,56,40,69,54,16184,1234,4.254569640186019,14.8854041013269
15,2020-04-19,71,27,64,65,41,70,63,22331,1699,5.870538472256179,20.49457177322075
16,2020-04-26,94,30,71,65,41,77,100,38073,2736,10.008911882773253,33.00361881785283
17,2020-05-03,94,24,64,57,39,90,82,59669,3885,15.686228117910256,46.86369119420989
18,2020-05-10,96,21,58,56,34,100,90,77430,5007,20.355371183860818,60.39806996381182
19,2020-05-17,100,21,56,54,30,80,82,116883,6494,30.727067675102724,78.33534378769602
20,2020-05-24,85,16,50,47,29,62,63,151352,6699,39.78853337749842,80.80820265379975
21,2020-05-31,87,14,47,43,27,52,40,173980,7159,45.73714940679459,86.35705669481302
22,2020-06-07,87,13,45,47,26,72,64,174886,6738,45.975325388876186,81.27864897466827
23,2020-06-14,88,12,46,48,27,60,53,219558,7308,57.71903120736295,88.15440289505428
24,2020-06-21,98,11,44,51,27,60,41,247214,7059,64.98944507099274,85.15078407720145
25,2020-06-28,83,10,38,41,29,50,53,261490,7251,68.74242555686124,87.46682750301568
26,2020-07-05,90,11,39,46,30,57,52,264272,7168,69.47377829654225,86.46562123039807
27,2020-07-12,83,9,43,45,27,54,48,233642,7292,61.42153731292276,87.96139927623642
28,2020-07-19,79,8,36,46,24,46,37,321038,7666,84.39684429968112,92.47285886610373
29,2020-07-26,75,7,35,40,26,48,30,312999,7132,82.28349251165248,86.0313630880579
30,2020-08-02,72,6,33,38,24,50,38,306405,6980,80.55001301292617,84.1978287092883
31,2020-08-09,69,5,34,38,26,37,39,301711,6716,79.31601956933787,81.01326899879372
32,2020-08-16,59,5,31,34,25,47,33,266478,7014,70.05370789529721,84.60796139927623
33,2020-08-23,56,4,30,36,23,30,33,263484,6192,69.26662302735869,74.69240048250904
34,2020-08-30,54,4,31,34,22,19,19,275746,5722,72.4901482947809,69.02291917973461
35,2020-09-06,50,4,34,36,21,25,22,193155,5049,50.7780152527268,60.90470446320868
36,2020-09-13,46,4,28,33,21,23,23,212174,5285,55.77787066465821,63.751507840772014
37,2020-09-20,46,3,26,32,22,32,30,189812,4882,49.89918268308136,58.890229191797346
38,2020-09-27,41,3,25,30,18,32,22,188017,4585,49.42729980467467,55.30759951749095
39,2020-10-04,42,3,28,32,20,29,29,175539,4209,46.14699085940519,50.77201447527141
40,2020-10-11,40,3,26,33,21,25,28,141828,3454,37.28479380426982,41.66465621230398
41,2020-10-18,43,3,27,35,22,25,24,157999,3235,41.53594590828911,39.02291917973462
42,2020-10-25,43,3,25,35,22,19,24,153423,2981,40.33297317759884,35.958986731001204
43,2020-11-01,40,3,25,32,23,36,15,118124,2376,31.053310935327072,28.661037394451146
44,2020-11-08,48,3,27,36,24,42,44,195502,3391,51.395011974520955,40.90470446320868
45,2020-11-15,58,3,26,37,27,36,30,204746,3349,53.82514307646606,40.39806996381182
46,2020-11-22,68,3,30,42,27,47,46,241123,3596,63.388197933179285,43.37756332931242
47,2020-11-29,78,3,31,43,32,54,51,283259,4034,74.46522131175554,48.66103739445114
48,2020-12-06,87,3,34,43,30,48,48,304265,4523,79.98743398240232,54.559710494571775
49,2020-12-13,83,3,36,43,30,67,54,333359,5220,87.63587992355235,62.96743063932448
50,2020-12-20,90,3,38,45,30,51,47,251400,4452,66.089891716681,53.70325693606755
51,2020-12-27,91,3,39,49,35,51,67,249783,4921,65.66480279501882,59.360675512665864
52,2021-01-03,93,3,34,46,33,57,50,361767,6935,95.10398511005782,83.65500603136309
53,2021-01-10,93,3,37,45,32,65,58,379896,6673,99.86987073826668,80.49457177322074
54,2021-01-17,97,3,34,40,29,38,45,360828,7145,94.85713384386067,86.18817852834741
55,2021-01-24,75,2,31,41,27,47,38,358806,7492,94.32557552623486,90.37394451145958
56,2021-01-31,68,2,33,38,24,36,34,322189,7116,84.69942769413578,85.83835946924005
57,2021-02-07,65,2,24,39,25,25,30,314475,7573,82.67151431027548,91.35102533172497
58,2021-02-14,75,3,32,42,28,33,29,327047,7345,85.97653467090441,88.60072376357057
59,2021-02-21,92,3,34,47,35,43,35,380391,8290,100.0,100.0
