,date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato,new_confirmed,new_deaths,new_confirmed_n,new_deaths_n
0,2020-01-05,0,0,21,35,27,1,2,0,0,0.0,0.0
1,2020-01-12,0,0,21,40,26,2,0,0,0,0.0,0.0
2,2020-01-19,0,3,22,46,24,2,2,0,0,0.0,0.0
3,2020-01-26,0,15,22,41,22,0,1,0,0,0.0,0.0
4,2020-02-02,0,5,21,34,24,0,2,0,0,0.0,0.0
5,2020-02-09,0,3,20,41,27,1,0,0,0,0.0,0.0
6,2020-02-16,0,2,22,45,32,4,2,0,0,0.0,0.0
7,2020-02-23,2,16,23,49,44,0,0,0,0,0.0,0.0
8,2020-03-01,2,10,24,45,43,1,1,17,0,0.004469085756497919,0.0
9,2020-03-08,8,32,24,60,49,3,1,117,0,0.03075782550060333,0.0
10,2020-03-15,59,100,73,100,100,7,5,996,18,0.2618358478512899,0.21712907117008443
11,2020-03-22,75,79,100,89,91,24,26,2821,97,0.7416053481812136,1.1700844390832328
12,2020-03-29,65,46,76,59,52,21,22,6428,330,1.6898401907510956,3.9806996381182147
13,2020-04-05,66,64,54,53,39,30,28,10610,696,2.7892352868495838,8.395657418576597
14,2020-04-12,71,35,50,55,34,47,73,16184,1234,4.254569640186019,14.8854041013269
15,2020-04-19,71,28,59,58,40,66,71,22331,1699,5.870538472256179,20.49457177322075
16,2020-04-26,88,31,61,65,40,100,100,38073,2736,10.008911882773253,33.00361881785283
17,2020-05-03,92,23,55,54,35,91,88,59669,3885,15.686228117910256,46.86369119420989
18,2020-05-10,96,22,53,54,35,80,94,77430,5007,20.355371183860818,60.39806996381182
19,2020-05-17,100,20,44,52,32,78,80,116883,6494,30.727067675102724,78.33534378769602
20,2020-05-24,84,16,40,46,28,61,68,151352,6699,39.78853337749842,80.80820265379975
21,2020-05-31,84,14,41,44,28,63,48,173980,7159,45.73714940679459,86.35705669481302
22,2020-06-07,85,13,43,46,25,73,67,174886,6738,45.975325388876186,81.27864897466827
23,2020-06-14,88,12,38,48,27,65,50,219558,7308,57.71903120736295,88.15440289505428
24,2020-06-21,96,12,38,47,27,65,46,247214,7059,64.98944507099274,85.15078407720145
25,2020-06-28,84,10,33,42,27,57,66,261490,7251,68.74242555686124,87.46682750301568
26,2020-07-05,87,11,35,43,26,56,54,264272,7168,69.47377829654225,86.46562123039807
27,2020-07-12,84,9,33,40,27,59,41,233642,7292,61.42153731292276,87.96139927623642
28,2020-07-19,79,7,31,43,28,48,44,321038,7666,84.39684429968112,92.47285886610373
29,2020-07-26,73,7,33,37,27,40,41,312999,7132,82.28349251165248,86.0313630880579
30,2020-08-02,69,6,28,38,25,40,43,306405,6980,80.55001301292617,84.1978287092883
31,2020-08-09,67,6,29,37,23,30,49,301711,6716,79.31601956933787,81.01326899879372
32,2020-08-16,58,5,28,33,23,33,35,266478,7014,70.05370789529721,84.60796139927623
33,2020-08-23,56,4,28,31,21,27,35,263484,6192,69.26662302735869,74.69240048250904
34,2020-08-30,52,5,27,32,21,39,24,275746,5722,72.4901482947809,69.02291917973461
35,2020-09-06,47,4,22,31,21,31,24,193155,5049,50.7780152527268,60.90470446320868
36,2020-09-13,47,4,23,32,20,17,21,212174,5285,55.77787066465821,63.751507840772014
37,2020-09-20,47,4,24,31,20,23,30,189812,4882,49.89918268308136,58.890229191797346
38,2020-09-27,42,3,23,31,20,32,22,188017,4585,49.42729980467467,55.30759951749095
39,2020-10-04,41,3,23,30,18,32,26,175539,4209,46.14699085940519,50.77201447527141
40,2020-10-11,40,3,23,30,20,29,25,141828,3454,37.28479380426982,41.66465621230398
41,2020-10-18,42,3,24,34,22,28,26,157999,3235,41.53594590828911,39.02291917973462
42,2020-10-25,42,3,23,33,23,36,25,153423,2981,40.33297317759884,35.958986731001204
43,2020-11-01,40,3,21,31,22,28,31,118124,2376,31.053310935327072,28.661037394451146
44,2020-11-08,46,3,25,35,25,39,32,195502,3391,51.395011974520955,40.90470446320868
45,2020-11-15,58,3,20,36,23,37,35,204746,3349,53.82514307646606,40.39806996381182
46,2020-11-22,67,3,26,42,26,48,49,241123,3596,63.388197933179285,43.37756332931242
47,2020-11-29,75,3,27,40,27,68,55,283259,4034,74.46522131175554,48.66103739445114
48,2020-12-06,88,3,30,40,30,62,71,304265,4523,79.98743398240232,54.559710494571775
49,2020-12-13,82,3,30,44,29,66,61,333359,5220,87.63587992355235,62.96743063932448
50,2020-12-20,93,4,31,38,33,70,63,251400,4452,66.089891716681,53.70325693606755
51,2020-12-27,89,3,32,43,33,64,75,249783,4921,65.66480279501882,59.360675512665864
52,2021-01-03,90,3,34,45,34,57,70,361767,6935,95.10398511005782,83.65500603136309
53,2021-01-10,90,3,32,40,31,54,78,379896,6673,99.86987073826668,80.49457177322074
54,2021-01-17,99,3,32,44,25,45,46,360828,7145,94.85713384386067,86.18817852834741
55,2021-01-24,72,3,29,38,26,36,33,358806,7492,94.32557552623486,90.37394451145958
56,2021-01-31,71,2,30,39,24,30,32,322189,7116,84.69942769413578,85.83835946924005
57,2021-02-07,64,2,23,37,24,26,29,314475,7573,82.67151431027548,91.35102533172497
58,2021-02-14,72,3,27,43,31,37,40,327047,7345,85.97653467090441,88.60072376357057
59,2021-02-21,90,3,29,46,33,43,34,380391,8290,100.0,100.0
