date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato
2020-01-01,0,0,0,0,0,0,0
2020-01-02,0,0,0,15,0,0,0
2020-01-03,0,0,0,0,0,0,0
2020-01-04,0,0,0,33,16,0,0
2020-01-05,0,0,0,0,36,0,0
2020-01-06,0,0,0,29,14,0,0
2020-01-07,0,0,21,57,14,0,0
2020-01-08,0,0,20,28,14,0,0
2020-01-09,0,0,0,28,13,0,0
2020-01-10,0,0,21,29,0,0,0
2020-01-11,0,0,0,34,0,0,0
2020-01-12,0,0,0,0,0,0,0
2020-01-13,0,0,18,38,0,0,0
2020-01-14,0,0,0,23,11,0,0
2020-01-15,0,0,0,66,26,0,0
2020-01-16,0,0,0,27,13,0,0
2020-01-17,0,0,0,0,0,0,0
2020-01-18,0,0,0,31,0,0,0
2020-01-19,0,0,0,18,0,0,0
2020-01-20,0,2,0,41,0,0,0
2020-01-21,0,2,0,14,13,0,0
2020-01-22,0,4,19,0,13,0,0
2020-01-23,0,8,0,0,0,0,0
2020-01-24,0,7,0,15,0,0,0
2020-01-25,0,6,0,16,0,0,0
2020-01-26,0,13,50,34,0,0,0
2020-01-27,0,12,0,28,0,0,0
2020-01-28,0,15,0,0,13,0,0
2020-01-29,0,23,0,13,13,0,0
2020-01-30,0,19,0,0,13,0,0
2020-01-31,0,12,0,14,14,0,0
2020-02-01,0,7,49,0,0,0,0
2020-02-02,0,9,25,88,17,0,0
2020-02-03,0,6,17,12,0,0,0
2020-02-04,0,4,19,64,0,0,0
2020-02-05,0,3,0,14,26,0,0
2020-02-06,0,2,19,27,13,0,0
2020-02-07,0,5,0,28,0,0,0
2020-02-08,0,5,23,31,0,0,0
2020-02-09,0,2,0,0,0,0,0
2020-02-10,0,4,18,13,0,0,0
2020-02-11,0,2,0,25,12,0,0
2020-02-12,0,1,18,12,47,0,0
2020-02-13,0,1,0,23,45,0,0
2020-02-14,0,2,0,0,0,0,0
2020-02-15,0,2,23,31,0,0,0
2020-02-16,0,2,0,0,0,0,0
2020-02-17,0,1,0,26,13,0,0
2020-02-18,0,1,0,12,12,0,0
2020-02-19,0,5,0,24,0,0,0
2020-02-20,0,1,0,12,0,0,0
2020-02-21,0,2,0,13,13,0,0
2020-02-22,0,1,0,45,29,0,0
2020-02-23,0,3,0,0,17,0,0
2020-02-24,0,2,0,15,15,0,0
2020-02-25,5,3,0,0,14,0,0
2020-02-26,2,29,0,40,52,0,0
2020-02-27,0,13,17,0,33,0,0
2020-02-28,0,21,36,25,12,0,0
2020-02-29,2,12,0,14,14,0,0
2020-03-01,3,8,0,0,0,0,0
2020-03-02,0,3,0,25,0,0,0
2020-03-03,2,8,0,24,35,0,0
2020-03-04,2,7,17,24,23,0,0
2020-03-05,2,5,0,0,12,0,0
2020-03-06,2,5,0,25,0,0,0
2020-03-07,3,7,0,29,0,0,0
2020-03-08,0,6,0,0,15,0,0
2020-03-09,2,6,18,37,12,0,0
2020-03-10,0,8,0,36,11,0,0
2020-03-11,2,9,0,0,33,0,0
2020-03-12,8,43,0,23,0,0,0
2020-03-13,10,68,17,24,12,0,0
2020-03-14,2,42,20,14,40,0,0
2020-03-15,11,50,45,15,15,0,0
2020-03-16,15,65,17,60,23,0,0
2020-03-17,26,75,0,12,48,0,0
2020-03-18,34,70,0,60,23,0,0
2020-03-19,35,63,0,50,48,0,0
2020-03-20,47,70,0,47,34,0,0
2020-03-21,67,89,42,43,55,0,0
2020-03-22,50,100,0,48,61,0,0
2020-03-23,30,95,33,34,11,0,0
2020-03-24,43,73,18,50,12,0,0
2020-03-25,60,62,0,51,37,0,0
2020-03-26,48,46,18,100,84,0,0
2020-03-27,57,46,33,34,55,0,20
2020-03-28,38,47,20,14,26,0,0
2020-03-29,28,46,42,73,14,33,26
2020-03-30,17,39,16,43,63,0,19
2020-03-31,37,34,44,20,0,0,0
2020-04-01,49,36,65,34,0,0,0
2020-04-02,50,33,17,34,11,0,0
2020-04-03,58,43,0,95,11,0,0
2020-04-04,63,37,19,67,13,0,24
2020-04-05,70,48,42,14,28,0,0
2020-04-06,75,87,0,32,21,0,0
2020-04-07,53,51,27,9,9,0,0
2020-04-08,71,59,30,31,30,23,18
2020-04-09,61,86,0,79,0,75,20
2020-04-10,58,57,19,64,25,0,68
2020-04-11,59,42,36,88,0,84,45
2020-04-12,72,30,20,69,40,0,0
2020-04-13,70,51,16,44,21,24,0
2020-04-14,92,31,32,99,53,25,20
2020-04-15,99,25,0,67,65,100,100
2020-04-16,78,27,33,90,54,25,40
2020-04-17,71,27,16,57,11,51,20
2020-04-18,80,20,37,77,12,0,46
2020-04-19,47,24,21,43,27,32,0
2020-04-20,47,15,31,32,0,96,57
2020-04-21,67,23,35,60,35,0,43
2020-04-22,67,17,31,32,10,0,19
2020-04-23,85,14,49,33,21,50,20
2020-04-24,63,21,32,44,11,0,0
2020-04-25,54,33,0,39,37,0,0
2020-04-26,56,61,39,67,65,0,24
2020-04-27,79,26,66,34,33,0,20
2020-04-28,72,15,47,33,10,24,0
2020-04-29,97,20,0,33,32,73,0
2020-04-30,85,20,64,100,32,0,0
2020-05-01,68,21,19,65,100,0,23
2020-05-02,50,23,55,75,48,0,0
2020-05-03,77,9,100,28,13,0,25
2020-05-04,63,14,34,23,22,26,0
2020-05-05,84,19,28,20,19,22,18
2020-05-06,91,17,31,54,52,0,19
2020-05-07,62,21,32,11,21,0,0
2020-05-08,86,10,34,71,0,0,0
2020-05-09,70,19,39,13,0,0,0
2020-05-10,73,12,0,13,39,0,0
2020-05-11,73,16,16,45,33,0,41
2020-05-12,77,19,48,22,11,0,0
2020-05-13,94,18,47,65,10,24,0
2020-05-14,67,14,0,11,31,0,0
2020-05-15,75,16,48,22,0,0,0
2020-05-16,79,13,0,38,12,0,0
2020-05-17,100,20,39,40,13,0,0
2020-05-18,69,17,48,22,0,0,0
2020-05-19,54,8,48,22,0,0,0
2020-05-20,71,11,0,42,0,0,19
2020-05-21,45,7,65,11,33,0,0
2020-05-22,59,8,49,34,0,0,0
2020-05-23,47,11,18,12,35,0,0
2020-05-24,44,7,20,14,0,0,0
2020-05-25,62,9,16,33,32,0,0
2020-05-26,50,9,32,22,0,0,0
2020-05-27,34,7,16,0,32,0,0
2020-05-28,54,13,0,11,32,25,0
2020-05-29,44,18,33,11,0,0,0
2020-05-30,67,10,77,27,13,0,0
2020-05-31,47,7,0,14,0,30,0
2020-06-01,38,9,16,0,0,0,0
2020-06-02,42,6,32,11,0,24,0
2020-06-03,36,5,45,31,0,0,0
2020-06-04,39,13,15,10,20,0,0
2020-06-05,39,5,31,0,0,0,0
2020-06-06,59,11,20,27,13,0,0
2020-06-07,53,10,21,29,14,0,0
2020-06-08,49,8,0,32,10,0,0
2020-06-09,51,7,0,21,0,0,0
2020-06-10,39,6,0,0,0,0,0
2020-06-11,33,4,19,26,0,0,0
2020-06-12,29,7,18,0,0,0,0
2020-06-13,42,6,0,28,0,0,0
2020-06-14,31,9,21,30,28,0,26
2020-06-15,32,6,0,0,11,0,0
2020-06-16,41,4,16,22,10,0,0
2020-06-17,33,6,16,22,11,0,0
2020-06-18,33,4,0,22,0,0,0
2020-06-19,29,7,0,12,23,0,0
2020-06-20,32,3,62,14,0,0,0
2020-06-21,50,7,0,0,0,0,0
2020-06-22,24,7,17,23,22,0,21
2020-06-23,41,6,16,0,11,0,0
2020-06-24,24,3,16,68,0,0,0
2020-06-25,34,7,0,12,34,0,0
2020-06-26,34,7,0,12,12,0,0
2020-06-27,25,4,0,29,28,0,0
2020-06-28,37,6,22,15,15,0,0
2020-06-29,38,6,0,36,0,27,0
2020-06-30,26,3,0,0,11,0,0
2020-07-01,27,5,17,24,11,0,0
2020-07-02,35,3,17,12,0,0,0
2020-07-03,19,0,0,37,0,0,0
2020-07-04,25,5,0,29,0,0,0
2020-07-05,34,5,0,0,0,0,0
2020-07-06,27,3,0,24,0,0,0
2020-07-07,62,8,0,12,0,0,0
2020-07-08,34,6,18,0,0,0,0
2020-07-09,31,4,0,24,0,0,0
2020-07-10,18,3,0,13,0,0,0
2020-07-11,26,7,22,30,14,0,0
2020-07-12,17,5,23,32,0,0,0
2020-07-13,22,4,18,38,0,0,0
2020-07-14,19,5,0,25,12,0,0
2020-07-15,34,6,0,36,0,0,0
2020-07-16,41,2,18,25,0,0,0
2020-07-17,36,1,0,0,25,0,0
2020-07-18,13,4,44,0,15,0,0
2020-07-19,21,6,25,17,17,0,0
2020-07-20,61,6,0,13,25,0,0
2020-07-21,41,4,0,25,0,0,0
2020-07-22,19,4,0,62,12,0,0
2020-07-23,46,4,0,0,23,0,0
2020-07-24,26,1,0,25,12,0,0
2020-07-25,28,5,0,16,46,0,0
2020-07-26,26,1,0,17,33,0,0
2020-07-27,18,2,0,0,0,0,0
2020-07-28,40,3,0,12,0,0,0
2020-07-29,19,4,18,25,0,0,0
2020-07-30,48,2,0,38,12,0,0
2020-07-31,37,3,38,39,0,0,0
2020-08-01,27,4,0,47,15,0,28
2020-08-02,29,5,0,17,16,0,0
2020-08-03,33,4,0,25,0,0,0
2020-08-04,35,1,0,12,0,0,0
2020-08-05,14,3,0,36,11,0,0
2020-08-06,24,2,36,13,0,0,0
2020-08-07,13,5,18,0,0,0,0
2020-08-08,29,3,0,31,15,0,28
2020-08-09,26,2,0,0,16,0,0
2020-08-10,40,3,19,0,12,0,0
2020-08-11,31,4,0,12,23,0,0
2020-08-12,27,4,16,22,11,0,0
2020-08-13,38,3,17,12,22,0,0
2020-08-14,29,1,17,36,12,0,0
2020-08-15,20,3,0,14,14,0,0
2020-08-16,16,2,0,16,0,0,0
2020-08-17,43,2,0,12,12,0,0
2020-08-18,33,6,0,12,12,0,0
2020-08-19,24,1,0,35,0,0,0
2020-08-20,8,2,0,12,11,0,0
2020-08-21,23,2,18,0,0,0,0
2020-08-22,17,1,0,14,0,0,0
2020-08-23,19,7,0,14,13,0,0
2020-08-24,35,1,17,12,0,0,0
2020-08-25,40,1,0,35,0,0,0
2020-08-26,14,3,17,12,0,0,0
2020-08-27,28,4,34,0,22,0,0
2020-08-28,13,4,0,13,12,0,0
2020-08-29,26,1,20,0,13,0,0
2020-08-30,16,4,22,0,14,0,0
2020-08-31,26,2,18,12,0,0,0
2020-09-01,12,16,0,23,12,0,0
2020-09-02,8,16,0,12,24,0,0
2020-09-03,10,26,0,11,12,0,0
2020-09-04,14,12,25,37,13,0,0
2020-09-05,10,21,0,0,16,0,0
2020-09-06,7,7,0,30,0,0,0
2020-09-07,10,0,0,0,0,0,0
2020-09-08,17,29,25,25,26,0,0
2020-09-09,16,27,0,11,12,0,0
2020-09-10,22,16,0,0,0,0,0
2020-09-11,7,17,49,12,13,0,0
2020-09-12,10,28,0,15,16,0,0
2020-09-13,11,27,0,29,0,0,0
2020-09-14,12,21,0,11,0,0,0
2020-09-15,13,22,48,12,25,0,0
2020-09-16,17,11,0,12,0,0,0
2020-09-17,25,21,0,45,12,0,0
2020-09-18,17,28,0,48,12,0,0
2020-09-19,21,28,0,15,0,0,0
2020-09-20,19,14,31,0,16,0,0
2020-09-21,21,17,48,0,0,0,0
2020-09-22,16,21,44,0,12,0,0
2020-09-23,22,11,0,11,24,0,0
2020-09-24,14,21,0,35,0,0,0
2020-09-25,21,18,0,26,14,0,0
2020-09-26,16,28,30,15,16,0,0
2020-09-27,15,20,29,14,0,0,0
2020-09-28,17,40,0,49,39,0,0
2020-09-29,18,32,0,12,0,0,0
2020-09-30,14,22,23,23,12,0,0
2020-10-01,17,16,23,34,0,0,0
2020-10-02,10,35,25,12,26,0,0
2020-10-03,16,14,30,30,16,0,0
2020-10-04,12,20,0,14,0,0,0
2020-10-05,23,6,25,25,0,0,0
2020-10-06,14,11,25,37,0,81,0
2020-10-07,21,22,0,12,0,76,0
2020-10-08,24,17,0,36,50,0,0
2020-10-09,10,31,26,39,14,0,0
2020-10-10,12,25,0,14,14,0,0
2020-10-11,8,0,0,0,17,0,0
2020-10-12,9,72,0,0,0,0,0
2020-10-13,18,23,25,12,0,0,0
2020-10-14,6,11,25,25,13,0,0
2020-10-15,18,17,0,49,13,0,0
2020-10-16,13,6,27,40,14,0,0
2020-10-17,19,14,0,30,0,0,0
2020-10-18,13,14,0,30,0,0,0
2020-10-19,6,24,0,0,14,85,0
2020-10-20,9,11,48,24,13,0,0
2020-10-21,12,28,0,36,13,0,0
2020-10-22,20,12,0,0,13,0,0
2020-10-23,10,18,53,26,0,0,0
2020-10-24,7,13,0,29,0,0,0
2020-10-25,14,0,0,28,0,0,0
2020-10-26,15,0,0,13,13,0,0
2020-10-27,22,23,25,25,0,0,0
2020-10-28,12,0,0,12,38,0,0
2020-10-29,16,17,24,24,25,0,0
2020-10-30,9,18,26,26,14,0,0
2020-10-31,12,7,0,0,0,0,0
2020-11-01,8,47,0,0,0,0,0
2020-11-02,11,20,0,14,15,0,0
2020-11-03,9,29,0,25,13,0,43
2020-11-04,12,5,0,11,12,0,0
2020-11-05,12,16,0,34,12,0,0
2020-11-06,13,17,25,25,13,0,0
2020-11-07,11,7,0,28,15,0,0
2020-11-08,7,27,0,14,0,0,0
2020-11-09,11,58,0,25,13,0,0
2020-11-10,11,12,0,13,53,0,0
2020-11-11,8,28,24,36,0,0,0
2020-11-12,8,22,0,36,13,0,0
2020-11-13,10,0,27,27,14,0,0
2020-11-14,12,6,0,14,0,0,0
2020-11-15,9,17,24,12,0,0,0
2020-11-16,13,9,0,20,21,0,0
2020-11-17,9,21,23,35,0,0,0
2020-11-18,16,22,24,48,12,0,0
2020-11-19,9,21,0,34,0,0,0
2020-11-20,9,13,0,69,14,0,0
2020-11-21,5,7,0,0,0,0,0
2020-11-22,6,20,0,15,15,0,0
2020-11-23,8,23,25,61,0,0,0
2020-11-24,15,16,22,56,12,0,0
2020-11-25,13,16,0,45,12,0,0
2020-11-26,7,11,24,12,12,0,0
2020-11-27,11,29,25,13,13,0,0
2020-11-28,12,39,0,14,0,0,0
2020-11-29,9,0,0,40,0,0,0
2020-11-30,12,11,0,34,12,0,0
2020-12-01,12,16,0,58,0,0,0
2020-12-02,13,27,46,34,0,0,0
2020-12-03,6,32,23,23,12,0,0
2020-12-04,14,6,0,0,26,0,0
2020-12-05,21,20,0,15,15,0,0
2020-12-06,6,0,0,0,16,0,0
