date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato
2020-01-01,0,0,18,26,25,0,0
2020-01-02,0,0,23,32,30,0,0
2020-01-03,0,0,23,27,25,0,5
2020-01-04,0,0,21,39,29,0,5
2020-01-05,0,0,20,33,34,0,0
2020-01-06,0,0,15,26,24,0,0
2020-01-07,0,0,14,27,28,4,0
2020-01-08,0,0,14,33,23,0,0
2020-01-09,0,0,16,25,23,8,0
2020-01-10,0,0,16,37,16,0,0
2020-01-11,0,0,18,39,24,5,0
2020-01-12,0,0,15,35,19,0,6
2020-01-13,0,0,24,29,22,4,0
2020-01-14,0,0,22,33,26,0,0
2020-01-15,0,0,18,34,22,0,4
2020-01-16,0,0,23,37,16,0,4
2020-01-17,0,0,17,36,22,0,0
2020-01-18,0,0,12,31,24,0,5
2020-01-19,0,0,14,31,26,5,0
2020-01-20,0,0,18,29,17,0,0
2020-01-21,0,1,9,49,24,0,4
2020-01-22,0,4,16,49,14,0,4
2020-01-23,0,5,16,30,17,0,4
2020-01-24,0,4,15,37,21,0,0
2020-01-25,0,5,13,42,18,0,0
2020-01-26,0,6,16,35,22,0,0
2020-01-27,0,7,24,34,15,0,0
2020-01-28,0,15,22,38,16,0,0
2020-01-29,0,18,17,32,19,4,0
2020-01-30,0,15,16,33,17,0,0
2020-01-31,0,12,20,36,26,0,0
2020-02-01,0,8,17,38,21,0,5
2020-02-02,0,6,20,35,20,0,5
2020-02-03,0,5,18,34,19,4,4
2020-02-04,0,4,17,34,18,0,0
2020-02-05,0,4,18,27,18,8,0
2020-02-06,0,4,17,31,19,0,0
2020-02-07,0,4,17,32,18,0,0
2020-02-08,0,4,16,38,26,0,0
2020-02-09,0,4,24,34,25,0,5
2020-02-10,0,3,18,29,16,0,0
2020-02-11,0,3,21,37,16,0,4
2020-02-12,0,2,21,37,22,0,0
2020-02-13,0,3,14,40,18,0,0
2020-02-14,0,2,16,38,21,0,4
2020-02-15,0,2,15,43,27,5,5
2020-02-16,0,2,25,40,31,0,0
2020-02-17,0,2,20,41,23,0,4
2020-02-18,0,2,15,35,26,0,0
2020-02-19,0,2,18,37,29,4,4
2020-02-20,0,1,17,41,31,0,4
2020-02-21,0,1,18,36,30,0,0
2020-02-22,0,2,22,32,31,0,0
2020-02-23,0,2,17,38,35,0,0
2020-02-24,1,3,19,35,34,0,0
2020-02-25,1,5,26,38,38,0,0
2020-02-26,2,24,24,44,34,4,0
2020-02-27,2,19,22,41,35,3,0
2020-02-28,2,17,25,42,43,0,4
2020-02-29,2,13,20,45,37,0,0
2020-03-01,1,10,22,43,44,5,5
2020-03-02,1,9,14,39,35,0,0
2020-03-03,1,7,12,38,36,0,0
2020-03-04,1,6,14,42,33,0,0
2020-03-05,1,8,18,46,34,0,0
2020-03-06,2,8,13,39,39,0,0
2020-03-07,2,8,15,51,32,0,0
2020-03-08,2,8,15,51,37,0,5
2020-03-09,2,10,21,44,37,0,0
2020-03-10,3,10,21,48,35,0,0
2020-03-11,4,16,22,49,36,0,0
2020-03-12,12,45,23,48,43,7,4
2020-03-13,16,59,23,63,46,0,0
2020-03-14,15,44,26,59,52,4,0
2020-03-15,16,46,31,67,58,0,5
2020-03-16,33,74,42,74,61,3,0
2020-03-17,43,91,46,74,75,0,4
2020-03-18,51,91,70,89,85,0,0
2020-03-19,57,96,56,89,88,7,8
2020-03-20,68,93,78,87,82,0,4
2020-03-21,74,100,100,91,98,26,14
2020-03-22,76,97,85,100,100,4,29
2020-03-23,72,80,72,85,92,3,21
2020-03-24,63,64,85,81,87,18,15
2020-03-25,63,58,71,71,68,11,16
2020-03-26,60,54,71,63,61,11,37
2020-03-27,58,55,73,65,57,14,19
2020-03-28,57,53,77,66,57,25,18
2020-03-29,53,50,80,60,57,21,23
2020-03-30,55,42,83,48,49,29,25
2020-03-31,52,36,62,47,40,13,17
2020-04-01,50,34,55,45,39,23,28
2020-04-02,61,39,64,47,36,14,11
2020-04-03,60,38,69,54,42,25,12
2020-04-04,59,35,51,47,47,8,14
2020-04-05,60,36,55,49,38,13,28
2020-04-06,62,59,57,42,35,10,14
2020-04-07,56,54,54,46,31,15,23
2020-04-08,59,53,47,43,35,23,18
2020-04-09,56,71,44,43,35,17,30
2020-04-10,54,55,42,45,37,37,35
2020-04-11,55,35,50,52,44,33,31
2020-04-12,52,29,61,49,29,22,24
2020-04-13,62,50,44,47,25,23,25
2020-04-14,62,28,38,45,34,23,39
2020-04-15,65,25,56,52,28,27,55
2020-04-16,61,25,46,42,31,24,63
2020-04-17,62,25,33,45,28,65,41
2020-04-18,56,23,46,44,32,60,30
2020-04-19,58,23,44,52,39,42,68
2020-04-20,59,22,41,46,39,47,40
2020-04-21,60,21,46,52,33,52,48
2020-04-22,70,20,56,53,30,40,43
2020-04-23,69,21,50,47,28,26,57
2020-04-24,59,19,48,49,36,38,89
2020-04-25,59,41,50,56,35,45,84
2020-04-26,63,48,65,56,41,41,71
2020-04-27,77,23,54,48,29,46,72
2020-04-28,76,20,50,60,31,58,49
2020-04-29,86,22,53,63,39,73,75
2020-04-30,85,21,55,55,32,80,76
2020-05-01,84,22,39,60,33,57,80
2020-05-02,73,21,55,58,30,56,74
2020-05-03,74,20,53,49,30,100,50
2020-05-04,79,19,46,48,25,53,100
2020-05-05,81,19,48,49,25,44,64
2020-05-06,76,20,44,44,24,70,66
2020-05-07,80,20,41,40,27,47,47
2020-05-08,81,19,42,43,27,60,42
2020-05-09,81,20,40,45,36,63,82
2020-05-10,73,19,40,48,25,57,66
2020-05-11,85,19,45,47,22,64,62
2020-05-12,84,18,48,50,30,33,75
2020-05-13,80,17,38,48,29,68,81
2020-05-14,81,17,43,45,30,49,35
2020-05-15,81,16,45,44,28,71,69
2020-05-16,82,17,53,48,25,36,57
2020-05-17,100,23,58,48,27,46,68
2020-05-18,94,18,46,43,24,66,64
2020-05-19,83,16,37,48,26,48,63
2020-05-20,86,17,48,41,25,41,55
2020-05-21,78,16,45,45,29,29,50
2020-05-22,75,15,39,47,23,50,54
2020-05-23,65,14,50,43,25,59,72
2020-05-24,70,15,45,43,25,61,66
