date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato
2020-01-05,0,0,26,39,31,2,2
2020-01-12,0,0,23,41,27,3,4
2020-01-19,0,3,21,46,25,1,4
2020-01-26,0,14,23,42,24,1,0
2020-02-02,0,5,21,40,25,1,1
2020-02-09,0,3,22,44,29,1,4
2020-02-16,0,2,22,43,36,0,3
2020-02-23,2,15,27,51,47,1,1
2020-03-01,2,10,22,51,44,1,1
2020-03-08,9,33,27,61,53,3,1
2020-03-15,59,100,77,100,100,2,7
2020-03-22,76,77,100,92,99,29,35
2020-03-29,68,46,83,60,58,28,31
2020-04-05,68,63,65,55,44,32,29
2020-04-12,71,35,57,55,37,61,61
2020-04-19,71,27,60,60,40,73,77
2020-04-26,94,30,67,67,44,100,95
2020-05-03,94,24,59,54,37,100,94
2020-05-10,96,21,59,56,35,83,100
2020-05-17,100,21,56,55,33,93,94
2020-05-24,85,16,48,46,30,74,71
2020-05-31,87,14,46,48,27,58,58
2020-06-07,87,13,45,48,27,74,49
2020-06-14,88,12,44,44,26,76,70
2020-06-21,98,11,41,48,27,83,54
2020-06-28,83,10,35,44,29,80,73
2020-07-05,90,11,43,46,29,66,59
2020-07-12,83,9,40,43,28,55,52
2020-07-19,79,8,31,43,27,54,53
2020-07-26,75,7,36,39,28,50,55
2020-08-02,72,6,29,36,27,33,39
2020-08-09,69,5,29,41,27,39,43
2020-08-16,59,5,27,35,24,35,33
2020-08-23,56,4,27,33,21,38,30
2020-08-30,54,4,27,35,24,39,24
2020-09-06,50,4,26,36,22,40,32
2020-09-13,46,4,25,33,20,40,36
2020-09-20,46,3,24,31,21,31,31
2020-09-27,41,3,26,34,19,23,24
2020-10-04,42,3,22,31,20,27,30
2020-10-11,40,3,27,32,21,26,27
2020-10-18,43,3,25,33,22,27,36
2020-10-25,43,3,26,33,23,29,27
2020-11-01,40,3,24,33,27,24,35
2020-11-08,48,3,26,38,25,45,50
2020-11-15,58,3,22,37,26,38,54
2020-11-22,68,3,27,44,29,57,52
2020-11-29,78,3,29,40,33,54,57
2020-12-06,87,3,37,42,33,58,60
2020-12-13,83,3,33,42,29,61,61
2020-12-20,90,3,35,41,31,58,88
2020-12-27,91,3,39,46,33,82,83
2021-01-03,93,3,36,46,34,67,62
2021-01-10,93,3,39,41,31,73,73
2021-01-17,97,3,34,42,28,56,46
2021-01-24,75,2,30,40,30,45,39
2021-01-31,68,2,25,39,27,26,34
2021-02-07,65,2,27,39,26,39,33
2021-02-14,75,3,32,41,32,33,38
2021-02-21,92,3,32,48,33,45,41
