,date,covid,coronavirus,new_confirmed,new_deaths
0,2020-01-01,0,0,0,0
1,2020-01-02,0,0,0,0
2,2020-01-03,0,0,0,0
3,2020-01-04,0,0,0,0
4,2020-01-05,0,0,0,0
5,2020-01-06,0,0,0,0
6,2020-01-07,0,0,0,0
7,2020-01-08,0,0,0,0
8,2020-01-09,0,0,0,0
9,2020-01-10,0,0,0,0
10,2020-01-11,0,0,0,0
11,2020-01-12,0,0,0,0
12,2020-01-13,0,0,0,0
13,2020-01-14,0,0,0,0
14,2020-01-15,0,0,0,0
15,2020-01-16,0,0,0,0
16,2020-01-17,0,0,0,0
17,2020-01-18,0,0,0,0
18,2020-01-19,0,0,0,0
19,2020-01-20,0,0,0,0
20,2020-01-21,0,1,0,0
21,2020-01-22,0,6,0,0
22,2020-01-23,0,6,0,0
23,2020-01-24,0,3,0,0
24,2020-01-25,0,6,0,0
25,2020-01-26,0,12,0,0
26,2020-01-27,0,15,0,0
27,2020-01-28,0,16,0,0
28,2020-01-29,0,27,0,0
29,2020-01-30,0,19,0,0
30,2020-01-31,0,11,0,0
31,2020-02-01,0,16,0,0
32,2020-02-02,0,7,0,0
33,2020-02-03,0,3,0,0
34,2020-02-04,0,6,0,0
35,2020-02-05,0,7,0,0
36,2020-02-06,0,3,0,0
37,2020-02-07,0,3,0,0
38,2020-02-08,0,4,0,0
39,2020-02-09,0,2,0,0
40,2020-02-10,0,2,0,0
41,2020-02-11,0,2,0,0
42,2020-02-12,2,5,0,0
43,2020-02-13,0,2,0,0
44,2020-02-14,0,1,0,0
45,2020-02-15,3,2,0,0
46,2020-02-16,0,1,0,0
47,2020-02-17,0,2,0,0
48,2020-02-18,0,1,0,0
49,2020-02-19,2,1,0,0
50,2020-02-20,0,1,0,0
51,2020-02-21,0,2,0,0
52,2020-02-22,0,2,0,0
53,2020-02-23,3,2,0,0
54,2020-02-24,0,2,0,0
55,2020-02-25,0,3,0,0
56,2020-02-26,0,28,0,0
57,2020-02-27,2,12,0,0
58,2020-02-28,2,23,0,0
59,2020-02-29,0,7,0,0
60,2020-03-01,0,4,0,0
61,2020-03-02,2,2,0,0
62,2020-03-03,0,4,0,0
63,2020-03-04,0,5,0,0
64,2020-03-05,2,9,0,0
65,2020-03-06,2,7,0,0
66,2020-03-07,5,7,0,0
67,2020-03-08,0,6,0,0
68,2020-03-09,2,6,0,0
69,2020-03-10,6,9,0,0
70,2020-03-11,2,13,0,0
71,2020-03-12,11,35,0,0
72,2020-03-13,8,76,2,0
73,2020-03-14,16,52,0,0
74,2020-03-15,5,36,0,0
75,2020-03-16,12,60,0,0
76,2020-03-17,24,70,0,0
77,2020-03-18,34,87,0,0
78,2020-03-19,38,71,1,0
79,2020-03-20,35,79,4,0
80,2020-03-21,49,98,4,0
81,2020-03-22,56,100,15,0
82,2020-03-23,51,93,6,0
83,2020-03-24,53,61,15,1
84,2020-03-25,83,61,7,0
85,2020-03-26,50,47,13,0
86,2020-03-27,38,49,14,0
87,2020-03-28,52,56,30,0
88,2020-03-29,28,49,29,0
89,2020-03-30,32,34,11,1
90,2020-03-31,28,37,24,1
91,2020-04-01,44,35,25,0
92,2020-04-02,56,32,29,0
93,2020-04-03,54,30,31,4
94,2020-04-04,52,36,51,5
95,2020-04-05,61,42,106,3
96,2020-04-06,61,63,115,4
97,2020-04-07,49,63,104,4
98,2020-04-08,79,67,168,7
99,2020-04-09,52,100,95,10
100,2020-04-10,52,61,82,10
101,2020-04-11,86,39,68,3
102,2020-04-12,75,30,157,9
103,2020-04-13,62,56,69,9
104,2020-04-14,73,37,209,19
105,2020-04-15,81,29,70,16
106,2020-04-16,56,22,165,18
107,2020-04-17,78,27,90,21
108,2020-04-18,71,25,88,16
109,2020-04-19,47,21,147,21
110,2020-04-20,58,23,116,3
111,2020-04-21,84,20,110,8
112,2020-04-22,66,17,209,13
113,2020-04-23,80,27,409,28
114,2020-04-24,61,19,306,21
115,2020-04-25,54,54,441,32
116,2020-04-26,73,50,198,17
117,2020-04-27,71,24,95,16
118,2020-04-28,73,19,409,31
119,2020-04-29,75,18,464,29
120,2020-04-30,74,18,453,45
121,2020-05-01,78,16,469,51
122,2020-05-02,48,20,339,25
123,2020-05-03,60,16,621,47
124,2020-05-04,59,18,630,37
125,2020-05-05,77,21,796,64
126,2020-05-06,70,20,1134,102
127,2020-05-07,61,18,856,55
128,2020-05-08,60,16,628,68
129,2020-05-09,76,17,1198,88
130,2020-05-10,57,12,674,42
131,2020-05-11,76,15,320,31
132,2020-05-12,48,12,1249,63
133,2020-05-13,35,13,1648,62
134,2020-05-14,55,10,1365,75
135,2020-05-15,61,14,1211,96
136,2020-05-16,58,16,1285,44
137,2020-05-17,100,27,651,38
138,2020-05-18,62,15,585,20
139,2020-05-19,42,18,1219,58
140,2020-05-20,62,15,1572,70
141,2020-05-21,58,14,1663,59
142,2020-05-22,45,14,1671,49
143,2020-05-23,36,9,1764,75
144,2020-05-24,48,10,1065,14
145,2020-05-25,54,11,415,23
146,2020-05-26,40,13,1667,71
147,2020-05-27,45,6,1559,39
148,2020-05-28,39,7,2638,73
149,2020-05-29,48,9,2763,47
150,2020-05-30,32,9,1651,36
151,2020-05-31,34,10,818,5
152,2020-06-01,36,9,396,19
153,2020-06-02,29,8,1421,31
154,2020-06-03,37,6,1152,36
155,2020-06-04,40,7,2126,20
156,2020-06-05,31,8,1193,41
157,2020-06-06,42,7,1119,33
158,2020-06-07,36,6,484,18
159,2020-06-08,41,6,548,21
160,2020-06-09,37,10,1417,44
161,2020-06-10,34,3,1615,48
162,2020-06-11,30,8,1140,37
163,2020-06-12,52,10,1122,29
164,2020-06-13,46,4,915,36
165,2020-06-14,39,8,480,27
166,2020-06-15,38,7,271,20
167,2020-06-16,44,5,1241,38
168,2020-06-17,28,5,1529,29
169,2020-06-18,27,5,789,26
170,2020-06-19,34,6,1005,19
171,2020-06-20,32,6,1238,26
172,2020-06-21,43,7,511,7
173,2020-06-22,39,7,335,14
174,2020-06-23,18,8,1383,15
175,2020-06-24,32,8,1698,24
176,2020-06-25,46,5,761,21
177,2020-06-26,24,7,953,8
178,2020-06-27,14,1,802,33
179,2020-06-28,39,8,627,10
180,2020-06-29,24,7,244,10
181,2020-06-30,29,6,930,31
182,2020-07-01,52,6,1461,20
183,2020-07-02,32,3,1246,19
184,2020-07-03,35,2,1007,25
185,2020-07-04,26,7,965,31
186,2020-07-05,23,3,512,11
187,2020-07-06,28,3,413,9
188,2020-07-07,27,4,2740,14
189,2020-07-08,47,6,915,15
190,2020-07-09,51,2,1236,18
191,2020-07-10,39,2,1189,23
192,2020-07-11,27,5,723,15
193,2020-07-12,13,7,296,16
194,2020-07-13,33,4,886,9
195,2020-07-14,43,4,1388,16
196,2020-07-15,34,3,1144,16
197,2020-07-16,31,6,1081,14
198,2020-07-17,29,3,797,24
199,2020-07-18,27,2,1712,11
200,2020-07-19,34,2,379,20
201,2020-07-20,25,4,476,-3
202,2020-07-21,36,2,775,23
203,2020-07-22,24,3,557,14
204,2020-07-23,36,2,1498,10
205,2020-07-24,17,1,1205,6
206,2020-07-25,15,2,670,11
207,2020-07-26,22,6,369,7
208,2020-07-27,27,4,616,7
209,2020-07-28,28,5,1039,12
210,2020-07-29,12,2,975,10
211,2020-07-30,20,4,1047,6
212,2020-07-31,37,6,800,16
213,2020-08-01,22,3,837,10
214,2020-08-02,35,4,347,5
215,2020-08-03,28,1,262,5
216,2020-08-04,16,4,883,11
217,2020-08-05,18,2,981,18
218,2020-08-06,14,2,804,18
219,2020-08-07,24,3,803,10
220,2020-08-08,30,3,571,10
221,2020-08-09,26,3,522,4
222,2020-08-10,45,4,247,25
223,2020-08-11,39,3,908,21
224,2020-08-12,27,1,815,12
225,2020-08-13,37,6,882,18
226,2020-08-14,28,2,975,20
227,2020-08-15,18,3,464,8
228,2020-08-16,37,1,671,20
229,2020-08-17,20,3,351,22
230,2020-08-18,21,3,618,19
231,2020-08-19,26,5,711,13
232,2020-08-20,36,2,743,14
233,2020-08-21,18,2,457,5
234,2020-08-22,16,1,577,1
235,2020-08-23,21,0,246,6
236,2020-08-24,24,2,177,9
237,2020-08-25,28,3,787,16
238,2020-08-26,17,0,833,12
239,2020-08-27,16,2,671,16
240,2020-08-28,21,1,761,13
241,2020-08-29,25,2,1015,5
242,2020-08-30,12,7,201,5
243,2020-08-31,16,4,236,10
244,2020-09-01,14,32,623,12
245,2020-09-02,19,6,874,158
246,2020-09-03,15,36,727,9
247,2020-09-04,17,27,667,6
248,2020-09-05,16,15,539,7
249,2020-09-06,12,39,85,6
250,2020-09-07,22,63,94,2
251,2020-09-08,7,20,318,6
252,2020-09-09,18,12,736,8
253,2020-09-10,16,42,701,11
254,2020-09-11,4,26,763,9
255,2020-09-12,16,23,516,5
256,2020-09-13,14,8,193,4
257,2020-09-14,17,43,275,6
258,2020-09-15,19,37,743,9
259,2020-09-16,20,31,701,13
260,2020-09-17,21,72,650,11
261,2020-09-18,22,43,858,19
262,2020-09-19,14,31,1214,6
