,date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato,new_confirmed,new_deaths
0,2020-01-01,0,0,18.0,26.0,25.0,0.0,0.0,0,0
1,2020-01-02,0,0,23.0,32.0,30.0,0.0,0.0,0,0
2,2020-01-03,0,0,23.0,27.0,25.0,0.0,5.0,0,0
3,2020-01-04,0,0,21.0,39.0,29.0,0.0,5.0,0,0
4,2020-01-05,0,0,20.0,33.0,34.0,0.0,0.0,0,0
5,2020-01-06,0,0,15.0,26.0,24.0,0.0,0.0,0,0
6,2020-01-07,0,0,14.0,27.0,28.0,4.0,0.0,0,0
7,2020-01-08,0,0,14.0,33.0,23.0,0.0,0.0,0,0
8,2020-01-09,0,0,16.0,25.0,23.0,8.0,0.0,0,0
9,2020-01-10,0,0,16.0,37.0,16.0,0.0,0.0,0,0
10,2020-01-11,0,0,18.0,39.0,24.0,5.0,0.0,0,0
11,2020-01-12,0,0,15.0,35.0,19.0,0.0,6.0,0,0
12,2020-01-13,0,0,24.0,29.0,22.0,4.0,0.0,0,0
13,2020-01-14,0,0,22.0,33.0,26.0,0.0,0.0,0,0
14,2020-01-15,0,0,18.0,34.0,22.0,0.0,4.0,0,0
15,2020-01-16,0,0,23.0,37.0,16.0,0.0,4.0,0,0
16,2020-01-17,0,0,17.0,36.0,22.0,0.0,0.0,0,0
17,2020-01-18,0,0,12.0,31.0,24.0,0.0,5.0,0,0
18,2020-01-19,0,0,14.0,31.0,26.0,5.0,0.0,0,0
19,2020-01-20,0,0,18.0,29.0,17.0,0.0,0.0,0,0
20,2020-01-21,0,1,9.0,49.0,24.0,0.0,4.0,0,0
21,2020-01-22,0,4,16.0,49.0,14.0,0.0,4.0,0,0
22,2020-01-23,0,5,16.0,30.0,17.0,0.0,4.0,0,0
23,2020-01-24,0,4,15.0,37.0,21.0,0.0,0.0,0,0
24,2020-01-25,0,5,13.0,42.0,18.0,0.0,0.0,0,0
25,2020-01-26,0,6,16.0,35.0,22.0,0.0,0.0,0,0
26,2020-01-27,0,7,24.0,34.0,15.0,0.0,0.0,0,0
27,2020-01-28,0,15,22.0,38.0,16.0,0.0,0.0,0,0
28,2020-01-29,0,18,17.0,32.0,19.0,4.0,0.0,0,0
29,2020-01-30,0,15,16.0,33.0,17.0,0.0,0.0,0,0
30,2020-01-31,0,12,20.0,36.0,26.0,0.0,0.0,0,0
31,2020-02-01,0,8,17.0,38.0,21.0,0.0,5.0,0,0
32,2020-02-02,0,6,20.0,35.0,20.0,0.0,5.0,0,0
33,2020-02-03,0,5,18.0,34.0,19.0,4.0,4.0,0,0
34,2020-02-04,0,4,17.0,34.0,18.0,0.0,0.0,0,0
35,2020-02-05,0,4,18.0,27.0,18.0,8.0,0.0,0,0
36,2020-02-06,0,4,17.0,31.0,19.0,0.0,0.0,0,0
37,2020-02-07,0,4,17.0,32.0,18.0,0.0,0.0,0,0
38,2020-02-08,0,4,16.0,38.0,26.0,0.0,0.0,0,0
39,2020-02-09,0,4,24.0,34.0,25.0,0.0,5.0,0,0
40,2020-02-10,0,3,18.0,29.0,16.0,0.0,0.0,0,0
41,2020-02-11,0,3,21.0,37.0,16.0,0.0,4.0,0,0
42,2020-02-12,0,2,21.0,37.0,22.0,0.0,0.0,0,0
43,2020-02-13,0,3,14.0,40.0,18.0,0.0,0.0,0,0
44,2020-02-14,0,2,16.0,38.0,21.0,0.0,4.0,0,0
45,2020-02-15,0,2,15.0,43.0,27.0,5.0,5.0,0,0
46,2020-02-16,0,2,25.0,40.0,31.0,0.0,0.0,0,0
47,2020-02-17,0,2,20.0,41.0,23.0,0.0,4.0,0,0
48,2020-02-18,0,2,15.0,35.0,26.0,0.0,0.0,0,0
49,2020-02-19,0,2,18.0,37.0,29.0,4.0,4.0,0,0
50,2020-02-20,0,1,17.0,41.0,31.0,0.0,4.0,0,0
51,2020-02-21,0,1,18.0,36.0,30.0,0.0,0.0,0,0
52,2020-02-22,0,2,22.0,32.0,31.0,0.0,0.0,0,0
53,2020-02-23,0,2,17.0,38.0,35.0,0.0,0.0,0,0
54,2020-02-24,1,3,19.0,35.0,34.0,0.0,0.0,0,0
55,2020-02-25,1,5,26.0,38.0,38.0,0.0,0.0,1,0
56,2020-02-26,2,24,24.0,44.0,34.0,4.0,0.0,0,0
57,2020-02-27,2,19,22.0,41.0,35.0,3.0,0.0,0,0
58,2020-02-28,2,17,25.0,42.0,43.0,0.0,4.0,1,0
59,2020-02-29,2,13,20.0,45.0,37.0,0.0,0.0,0,0
60,2020-03-01,1,10,22.0,43.0,44.0,5.0,5.0,0,0
61,2020-03-02,1,9,14.0,39.0,35.0,0.0,0.0,0,0
62,2020-03-03,1,7,12.0,38.0,36.0,0.0,0.0,0,0
63,2020-03-04,1,6,14.0,42.0,33.0,0.0,0.0,1,0
64,2020-03-05,1,8,18.0,46.0,34.0,0.0,0.0,5,0
65,2020-03-06,2,8,13.0,39.0,39.0,0.0,0.0,6,0
66,2020-03-07,2,8,15.0,51.0,32.0,0.0,0.0,5,0
67,2020-03-08,2,8,15.0,51.0,37.0,0.0,5.0,6,0
68,2020-03-09,2,10,21.0,44.0,37.0,0.0,0.0,0,0
69,2020-03-10,3,10,21.0,48.0,35.0,0.0,0.0,4,0
70,2020-03-11,4,16,22.0,49.0,36.0,0.0,0.0,14,0
71,2020-03-12,12,45,23.0,48.0,43.0,7.0,4.0,46,0
72,2020-03-13,16,59,23.0,63.0,46.0,0.0,0.0,7,0
73,2020-03-14,15,44,26.0,59.0,52.0,4.0,0.0,40,0
74,2020-03-15,16,46,31.0,67.0,58.0,0.0,5.0,19,0
75,2020-03-16,33,74,42.0,74.0,61.0,3.0,0.0,125,0
76,2020-03-17,43,91,46.0,74.0,75.0,0.0,4.0,47,1
77,2020-03-18,51,91,70.0,89.0,85.0,0.0,0.0,187,2
78,2020-03-19,57,96,56.0,89.0,88.0,7.0,8.0,128,4
79,2020-03-20,68,93,78.0,87.0,82.0,0.0,4.0,288,4
80,2020-03-21,74,100,100.0,91.0,98.0,26.0,14.0,202,7
81,2020-03-22,76,97,85.0,100.0,100.0,4.0,29.0,462,7
82,2020-03-23,72,80,72.0,85.0,92.0,3.0,21.0,358,9
83,2020-03-24,63,64,85.0,81.0,87.0,18.0,15.0,303,13
84,2020-03-25,63,58,71.0,71.0,68.0,11.0,16.0,310,12
85,2020-03-26,60,54,71.0,63.0,61.0,11.0,37.0,422,18
86,2020-03-27,58,55,73.0,65.0,57.0,14.0,19.0,489,16
87,2020-03-28,57,53,77.0,66.0,57.0,25.0,18.0,477,22
88,2020-03-29,53,50,80.0,60.0,57.0,21.0,23.0,355,24
89,2020-03-30,55,42,83.0,48.0,49.0,29.0,25.0,352,27
90,2020-03-31,52,36,62.0,47.0,40.0,13.0,17.0,1164,36
91,2020-04-01,50,34,55.0,45.0,39.0,23.0,28.0,1107,42
92,2020-04-02,61,39,64.0,47.0,36.0,14.0,11.0,1167,61
93,2020-04-03,60,38,69.0,54.0,42.0,25.0,12.0,1114,60
94,2020-04-04,59,35,51.0,47.0,47.0,8.0,14.0,1169,80
95,2020-04-05,60,36,55.0,49.0,38.0,13.0,28.0,1040,51
96,2020-04-06,62,59,57.0,42.0,35.0,10.0,14.0,840,73
97,2020-04-07,56,54,54.0,46.0,31.0,15.0,23.0,1821,122
98,2020-04-08,59,53,47.0,43.0,35.0,23.0,18.0,2173,135
99,2020-04-09,56,71,44.0,43.0,35.0,17.0,30.0,1921,133
100,2020-04-10,54,55,42.0,45.0,37.0,37.0,35.0,1761,114
101,2020-04-11,55,35,50.0,52.0,44.0,33.0,31.0,1054,68
102,2020-04-12,52,29,61.0,49.0,29.0,22.0,24.0,1465,96
103,2020-04-13,62,50,44.0,47.0,25.0,23.0,25.0,1401,113
104,2020-04-14,62,28,38.0,45.0,34.0,23.0,39.0,1918,207
105,2020-04-15,65,25,56.0,52.0,28.0,27.0,55.0,3243,203
106,2020-04-16,61,25,46.0,42.0,31.0,24.0,63.0,2083,202
107,2020-04-17,62,25,33.0,45.0,28.0,65.0,41.0,3296,211
