,date,covid,coronavirus,falta_de_ar,febre,tosse,perda_paladar,perda_olfato,new_confirmed,new_deaths
0,2020-01-05,0,0,15,45,34,0,0,0,0
1,2020-01-12,0,0,23,20,44,0,0,0,0
2,2020-01-19,0,5,5,40,9,0,0,0,0
3,2020-01-26,0,20,10,9,46,0,0,0,0
4,2020-02-02,0,6,19,27,31,0,0,0,0
5,2020-02-09,0,4,9,31,34,0,0,0,0
6,2020-02-16,0,4,9,14,17,0,0,0,0
7,2020-02-23,1,15,19,27,36,0,0,0,0
8,2020-03-01,0,9,4,22,28,0,0,0,0
9,2020-03-08,4,43,13,43,36,0,0,0,0
10,2020-03-15,24,100,30,58,58,10,0,9,0
11,2020-03-22,34,88,30,55,90,0,0,100,1
12,2020-03-29,32,49,31,47,63,9,10,200,11
13,2020-04-05,48,88,62,84,62,27,79,738,41
14,2020-04-12,52,45,8,85,48,100,100,848,108
15,2020-04-19,49,36,94,100,86,36,50,1738,126
16,2020-04-26,55,34,100,74,76,28,41,2427,214
17,2020-05-03,51,24,51,25,59,27,49,5863,461
18,2020-05-10,42,20,54,44,40,9,40,7752,413
19,2020-05-17,48,19,27,19,33,18,10,9125,369
20,2020-05-24,32,11,8,35,23,9,20,11758,303
21,2020-05-31,26,12,16,37,22,0,10,8225,185
22,2020-06-07,26,11,29,21,15,9,10,7241,233
23,2020-06-14,26,8,24,33,0,0,0,6553,185
24,2020-06-21,27,9,4,34,24,0,11,6443,122
25,2020-06-28,24,5,9,35,12,0,0,6480,146
26,2020-07-05,25,7,22,36,12,0,0,7728,105
27,2020-07-12,22,7,18,34,25,0,11,7304,106
28,2020-07-19,18,5,23,35,13,0,0,5560,81
29,2020-07-26,16,5,23,29,30,0,11,5683,68
30,2020-08-02,17,4,4,31,17,0,0,4651,77
31,2020-08-09,19,5,22,36,12,10,0,4813,108
32,2020-08-16,19,6,8,40,16,0,0,4128,94
33,2020-08-23,14,3,4,40,12,0,0,4490,77
34,2020-08-30,15,3,17,24,16,10,11,3867,207
35,2020-09-06,18,4,35,22,21,0,0,3213,47
36,2020-09-13,24,4,16,39,23,0,10,4634,68
37,2020-09-20,29,3,13,29,16,10,0,4596,66
38,2020-09-27,28,3,13,32,16,20,0,5968,147
39,2020-10-04,19,3,9,30,16,0,0,4901,66
40,2020-10-11,18,2,9,35,22,0,0,4148,90
41,2020-10-18,13,2,18,22,33,10,0,5789,108
42,2020-10-25,18,3,0,47,29,0,0,4708,110
43,2020-11-01,15,2,9,30,8,10,22,3711,79
44,2020-11-08,14,3,17,33,20,0,11,3771,71
45,2020-11-15,15,1,12,41,30,9,10,4181,78
46,2020-11-22,14,2,4,11,24,10,0,4454,105
47,2020-11-29,16,1,16,47,35,0,0,4537,70
48,2020-12-06,22,3,31,28,38,0,0,3937,52
49,2020-12-13,21,2,26,50,29,0,0,5400,78
50,2020-12-20,35,4,10,55,49,24,13,4333,97
51,2020-12-27,68,4,35,71,96,12,13,5860,152
52,2021-01-03,83,5,31,78,75,20,0,11129,344
53,2021-01-10,100,7,88,92,100,0,34,16371,454
54,2021-01-17,87,7,51,55,69,0,0,19194,928
55,2021-01-24,60,6,47,35,92,39,11,17433,967
56,2021-01-31,56,4,41,60,19,0,10,15760,916
57,2021-02-07,47,4,16,36,46,0,0,12568,885
58,2021-02-14,36,3,13,40,20,10,11,10928,590
59,2021-02-21,27,2,24,28,34,9,10,10349,422
