,date,covid,coronavirus,new_confirmed,new_deaths
0,2020-01-05,0,0,0,0
1,2020-01-12,0,0,0,0
2,2020-01-19,0,4,0,0
3,2020-01-26,0,15,0,0
4,2020-02-02,0,5,0,0
5,2020-02-09,0,3,0,0
6,2020-02-16,0,2,0,0
7,2020-02-23,2,16,0,0
8,2020-03-01,2,10,17,0
9,2020-03-08,9,33,117,0
10,2020-03-15,59,100,996,18
11,2020-03-22,76,79,2821,97
12,2020-03-29,66,46,6428,330
13,2020-04-05,70,62,10610,696
14,2020-04-12,77,35,16184,1234
15,2020-04-19,71,28,22331,1699
16,2020-04-26,90,30,38073,2736
17,2020-05-03,93,24,59669,3885
18,2020-05-10,97,21,77430,5007
19,2020-05-17,99,20,116883,6494
20,2020-05-24,86,17,151352,6699
21,2020-05-31,88,15,173980,7159
22,2020-06-07,87,13,174886,6738
23,2020-06-14,89,12,219558,7308
24,2020-06-21,96,11,247214,7059
25,2020-06-28,85,10,261490,7251
26,2020-07-05,90,10,264272,7168
27,2020-07-12,87,9,233642,7292
28,2020-07-19,81,8,321038,7666
29,2020-07-26,73,7,312999,7132
30,2020-08-02,71,6,306405,6980
31,2020-08-09,70,5,301711,6716
32,2020-08-16,63,5,266478,7014
33,2020-08-23,57,4,263484,6192
34,2020-08-30,54,5,275746,5722
35,2020-09-06,50,4,193155,5049
36,2020-09-13,47,4,212174,5285
37,2020-09-20,48,4,189812,4882
38,2020-09-27,43,3,188017,4585
39,2020-10-04,43,3,175539,4209
40,2020-10-11,41,3,141828,3454
41,2020-10-18,43,3,157999,3235
42,2020-10-25,44,3,153423,2981
43,2020-11-01,42,3,118124,2376
44,2020-11-08,48,3,195502,3391
45,2020-11-15,59,3,204746,3349
46,2020-11-22,68,3,241123,3596
47,2020-11-29,78,3,283259,4034
48,2020-12-06,89,3,304265,4523
49,2020-12-13,87,3,333359,5220
50,2020-12-20,93,4,251400,4452
51,2020-12-27,93,3,249783,4921
52,2021-01-03,94,3,361767,6935
53,2021-01-10,92,3,379896,6673
54,2021-01-17,100,3,360828,7145
55,2021-01-24,74,3,358806,7492
56,2021-01-31,72,2,322189,7116
57,2021-02-07,67,2,314475,7573
58,2021-02-14,72,3,327047,7345
